Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
JURISTA PALĪGS,"SIA ""DOBELES NAMSAIMNIEKS""","Zaļā iela 3, Dobele, Dobeles nov.",1250 ,30.11.2023
REMONTSTRĀDNIEKS,Dienvidkurzemes novada Komunālā pārvalde,Dienvidkurzemes nov.,650 - 700 ,05.12.2023
SKOLAS DIREKTORA VIETNIEKS /PRIEKŠNIEKA VIETNIEKS,Talsu novada pašvaldība,"Pūņu pamatskola, Pūņas, Valdgales pag., Talsu nov.",780.68 ,01.12.2023
SĒTNIEKS,"Sabiedrība ar ierobežotu atbildību ""EURO LOM""","Jūrmalas gatve 16B, Rīga",1373 ,31.12.2023
DATORSISTĒMU UN DATORTĪKLU ADMINISTRATORS,"Jelgavas valstspilsētas pašvaldības profesionālās tālākizglītības iestāde ""Zemgales reģiona kompetenču attīstības centrs""","Svētes iela 33, Jelgava",1282 - 1449 ,30.11.2023
Klientu APKALPOTĀJS (ēdināšanas jomā),"SIA ""KANTĪNE B""","Bastiona iela 24, Valmiera, Valmieras nov.",No 6 ,21.12.2023
LIETOJUMPROGRAMMU IZSTRĀDĀTĀJS,"Sabiedrība ar ierobežotu atbildību ""PMPC""","Krišjāņa Valdemāra iela 27/29, Rīga",3800 ,29.02.2024
MĀSA/ vispārējās aprūpes MĀSA,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Hipokrāta iela 2, Rīga",8.19 - 9.64 ,21.12.2023
PROGRAMMĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""PMPC""","Krišjāņa Valdemāra iela 27/29, Rīga",6300 ,29.02.2024
SOCIĀLAIS REHABILITĒTĀJS,Tukuma novada sociālais dienests,"Mežrozītes, Irlava, Irlavas pag., Tukuma nov.",866 - 973 ,29.12.2023
GALVENAIS ENERĢĒTIĶIS,Rīgas Tehniskā universitāte,Rīga,1900 ,01.12.2023
KRĀVĒJS (ROKU DARBS),"""MAXIMA Latvija"" SIA","Gaismas iela 22, Aizkraukle, Aizkraukles nov.",4.55 - 5.15 ,30.12.2023
MAIŅAS VECĀKAIS,Pepco Latvia SIA,"Krasta iela 46, Rīga",1125 ,03.12.2023
MAIŅAS VECĀKAIS,Pepco Latvia SIA,"Augusta Dombrovska iela 24, Rīga",1125 ,03.12.2023
MAIŅAS VECĀKAIS,Pepco Latvia SIA,"Biķeru iela 4, Ulbroka, Stopiņu pag., Ropažu nov.",1125 ,03.12.2023
MAIŅAS VECĀKAIS,Pepco Latvia SIA,"Lielā iela 26, Mārupe, Mārupes nov.",1125 ,03.12.2023
GRĀMATVEDIS (CETURTĀ LĪMEŅA KVALIFIKĀCIJA),Nodrošinājuma valsts aģentūra,"Čiekurkalna 1. līnija 1 k-2, Rīga",1130 - 1300 ,05.12.2023
SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Tukuma novada sociālais dienests,"Tidaholmas iela 1, Tukums, Tukuma nov.",994 - 1400 ,29.12.2023
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Skolas iela 13, Ogre, Ogres nov.",960 - 1000 ,31.12.2023
RESTORĀNA VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS,"SIA ""SP GROUPS""","Dzirnavu iela 113A, Rīga",1380 ,01.01.2024
SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Tukuma novada sociālais dienests,"Tidaholmas iela 1, Tukums, Tukuma nov.",994 - 1400 ,29.12.2023
SOCIĀLAIS DARBINIEKS,Tukuma novada sociālais dienests,"Celtnieku iela 3, Tukums, Tukuma nov.",1399 - 1694 ,21.12.2023
BUFETES PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Gaujas iela 30, Ādaži, Ādažu nov.",880 - 960 ,31.12.2023
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Grostonas iela 5, Rīga",1040 - 1100 ,31.12.2023
Interešu izglītības mūzikas SKOLOTĀJS,Valmieras novada pašvaldība,"Gaismaskalns, Trikāta, Trikātas pag., Valmieras nov.",1000 ,05.12.2023
IEPIRKUMU STRUKTŪRVIENĪBAS VADĪTĀJA VIETNIEKS /DIREKTORA VIETNIEKS,Ropažu novada pašvaldība,"Institūta iela 1A, Ulbroka, Stopiņu pag., Ropažu nov.",1746 - 2021 ,05.12.2023
JURISTS,Ropažu novada pašvaldība,"Institūta iela 1A, Ulbroka, Stopiņu pag., Ropažu nov.",1746 ,05.12.2023
VIRTUVES DARBINIEKS,"""FIRMA MADARA 89"" SIA","Rīgas iela 64, Valmiera, Valmieras nov.",620 - 670 ,05.12.2023
ELEKTROMONTIERIS,"Sabiedrība ar ierobežotu atbildību ""Eltex""","Bajāru iela 18, Rīga,LV-1039",1373 ,24.01.2024
"ALUS, VĪNA UN CITU DZĒRIENU RAŽOŠANAS IEKĀRTU OPERATORS","SIA ""VALMIERMUIŽAS ALUS""","Dzirnavu iela 2, Valmiermuiža, Valmieras pag., Valmieras nov.",No 1000 ,29.12.2023
SĒTNIEKS,"Sabiedrība ar ierobežotu atbildību ""MAX SHINE""","Saules iela 8, Madona, Madonas nov.",450 ,20.12.2023
PAVĀRS,"""FIRMA MADARA 89"" SIA","Rīgas iela 64, Valmiera, Valmieras nov.",1000 - 1050 ,05.12.2023
TRAUKU MAZGĀTĀJS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Kvēles iela 64, Rīga",768 - 850 ,31.12.2023
TRAUKU MAZGĀTĀJS,"Sabiedrība ar ierobežotu atbildību ""Kreicuma gardumiņš""","Aiviekstes pag., Aizkraukles nov.",4.5 ,31.12.2023
SKOLOTĀJS LOGOPĒDS,Daugavpils Centra vidusskola,"Kandavas iela 17, Daugavpils",306 ,31.12.2023
VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Daugavpils Centra vidusskola,"Kandavas iela 17, Daugavpils",1300 ,31.12.2023
VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Daugavpils Centra vidusskola,"Kandavas iela 17, Daugavpils",1164 ,31.12.2023
JURISTA PALĪGS,Tukuma novada pašvaldība,"Talsu iela 4, Tukums, Tukuma nov.",1107 - 1218 ,04.12.2023
RISKU VADĪBAS SPECIĀLISTS,Slimību profilakses un kontroles centrs,"Duntes iela 22 k-5, Rīga",967 - 1340 ,30.11.2023
PALĪGSTRĀDNIEKS,"SIA ""Khamid""","Kaņiera iela 18, Jūrmala",1373 - 1473 ,31.12.2023
ŠŪŠANAS TEHNOLOGS,"""LINDSTROM PRODEM"" SIA","Melnezera iela 3, Tukums, Tukuma nov.",1500 - 1700 ,20.12.2023
PADOMES LOCEKLIS,"Akciju sabiedrība ""Attīstības finanšu institūcija Altum""","Doma laukums 4, Rīga",2468 ,08.12.2023
PĀRDEVĒJS KONSULTANTS,"IK ""Smaragds J""","Brīvības iela 7, Krāslava, Krāslavas nov.",700 ,20.12.2023
ŠEFPAVĀRS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Alūksne, Alūksnes nov.",1100 - 1500 ,31.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"SIA ""Khamid""","Kaņiera iela 18, Jūrmala",1373 - 1473 ,31.12.2023
BUFETES KALPOTĀJS,"SIA ""Z Produkts""","Skolas iela 4A, Ikšķile, Ogres nov.",No 5.2 ,31.12.2023
DARBA AIZSARDZĪBAS VECĀKAIS SPECIĀLISTS,Nacionālo bruņoto spēku Nodrošinājuma pavēlniecības 1. Reģionālais nodrošinājuma centrs,"Roņu iela 2, Liepāja",1389 - 1537 ,15.12.2023
BĀRIŅTIESAS LOCEKLIS,Preiļu novada pašvaldība,"Aglonas iela 1A, Preiļi, Preiļu nov.",1050 ,03.12.2023
SOCIĀLAIS APRŪPĒTĀJS,Siguldas novada pašvaldības Sociālās aprūpes centrs,"Gaujaslīču iela 5, Gauja, Inčukalna pag., Siguldas nov.",875 - 1044 ,04.12.2023
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Gunāra Astras iela 1C, Rīga",960 - 1000 ,31.12.2023
IZGLĪTĪBAS DARBA SPECIĀLISTS,Dabas aizsardzības pārvalde,"GNP Līgatnes dabas taka, Līgatnes pag., Cēsu nov.",967 - 1240 ,04.12.2023
VECĀKAIS REFERENTS,Ekonomikas ministrija,"Brīvības iela 55, Rīga",1746 - 1880 ,05.12.2023
Robotikas UZRAUGS,SIA 3D Factory,"Brīvības gatve 214S, Rīga",1100 ,30.11.2023
GAISA KUĢU TEHNISKĀS APKOPES MEHĀNIKAS INŽENIERIS,"Sabiedrība ar ierobežotu atbildību ""Pelegrin""","Traleru iela 30, Rīga",1700 ,25.01.2024
SPIEDIENIEKĀRTU OPERATORS,"SIA ""Rīgas ūdens""","Ziepniekkalna iela 70, Rīga",8.81 - 11.45 ,18.12.2023
AUTOMOBIĻA VADĪTĀJS,"""Latvijas Pasts"", Valsts akciju sabiedrība","Katoļu iela 2B, Jelgava",750 ,10.12.2023
TERITORIJAS PLĀNOTĀJS,'RĪGAS DOMES ĪPAŠUMA DEPARTAMENTS',"Riharda Vāgnera iela 5, Rīga",1076 - 1415 ,15.12.2023
SOCIĀLAIS REHABILITĒTĀJS,Siguldas novada pašvaldības Sociālās aprūpes centrs,"Sociālās aprūpes mājā “Pēterupe”, Lode, Lēdurgas pagasts",438 - 522 ,04.12.2023
SOCIĀLAIS APRŪPĒTĀJS,Siguldas novada pašvaldības Sociālās aprūpes centrs,"Sociālās aprūpes mājā “Pēterupe”, Lode, Lēdurgas pagasts",438 - 522 ,04.12.2023
INFORMĀCIJAS TEHNOLOĢIJU ADMINISTRATORS,Saldus novada pašvaldība,"Lielā iela 3B, Saldus, Saldus nov.",1000 ,05.12.2023
TĀMĒTĀJS,'RĪGAS DOMES ĪPAŠUMA DEPARTAMENTS',"Riharda Vāgnera iela 5, Rīga",1624 - 1800 ,15.12.2023
ADMINISTRATĪVAIS DIREKTORS,Rīgas Tehniskā universitāte,Rīga,4000 ,17.12.2023
VECĀKAIS PĀRDEVĒJS,FP LV SIA,"Zeiferta iela 6, Olaine, Olaines nov.",930 - 1000 ,15.12.2023
VECĀKAIS PĀRDEVĒJS,FP LV SIA,"Lidoņu iela 27 k-1, Rīga",930 - 1000 ,15.12.2023
VIESMĪLIS,"Sabiedrība ar ierobežotu atbildību ""SIMSIS""","Cietokšņa iela 60, Daugavpils",620 ,31.12.2023
SOCIĀLAIS APRŪPĒTĀJS,"Pašvaldības sabiedrība ar ierobežotu atbildību ""Veselības un sociālās aprūpes centrs-Sloka""","Strēlnieku prospekts 38, Jūrmala",862 ,21.12.2023
VECĀKAIS PĀRDEVĒJS,FP LV SIA,"Rīgas iela 1, Salaspils, Salaspils nov.",930 - 1000 ,15.12.2023
SABIEDRISKO ATTIECĪBU SPECIĀLISTS,"Mākslu izglītības kompetences centrs ""Latgales Mūzikas un mākslas vidusskola""","Atbrīvošanas aleja 56, Rēzekne",1226 - 1382 ,04.12.2023
APRŪPĒTĀJS,Siguldas novada pašvaldības Sociālās aprūpes centrs,"SAM “Gauja”, Gaujaslīču ielā 5, Inčukalna pagastā, Siguldas novadā.",4.18 ,04.12.2023
Nekustamā īpašuma SPECIĀLISTS,'RĪGAS DOMES ĪPAŠUMA DEPARTAMENTS',"Riharda Vāgnera iela 5, Rīga",899 - 1350 ,15.12.2023
VIESNĪCAS ADMINISTRATORS,"Sabiedrība ar ierobežotu atbildību ""Belkanto""","Ģimnāzijas iela 46, Daugavpils",620 ,22.12.2023
VIESNĪCAS ISTABENIS,"Sabiedrība ar ierobežotu atbildību ""Belkanto""","Ģimnāzijas iela 46, Daugavpils",3.37 - 3.88 ,22.12.2023
GALVENAIS SPECIĀLISTS METODIĶIS,Rīgas Izglītības un informatīvi metodiskais centrs,"Kaņiera iela 15, Rīga",1248 ,08.12.2023
ĒKU UN APSAIMNIEKOJAMĀS TERITORIJAS PĀRZINIS,Siguldas novada pašvaldība,"Atmodas iela 1A, Inčukalns, Inčukalna pag., Siguldas nov.",1008 - 1061 ,30.11.2023
GALVENAIS SPECIĀLISTS METODIĶIS,Rīgas Izglītības un informatīvi metodiskais centrs,"Kaņiera iela 15, Rīga",1248 ,08.12.2023
VECĀKAIS PAVĀRS,Nacionālo bruņoto spēku Mācību vadības pavēlniecības štābs,"Valmieras iela 8, Cēsis, Cēsu nov.",989 - 1041 ,08.12.2023
PERSONĀLA ATLASES SPECIĀLISTS,"SIA ""Rīgas ūdens""","Zigfrīda Annas Meierovica bulvāris 1, Rīga",1550 - 1650 ,05.12.2023
INŽENIERKOMUNIKĀCIJU PIESAISTES INŽENIERIS,"SIA ""Rīgas ūdens""","Zigfrīda Annas Meierovica bulvāris 1, Rīga",1920 ,17.12.2023
SILTUMIEKĀRTU REMONTATSLĒDZNIEKS,"Sabiedrība ar ierobežotu atbildību ""Jēkabpils siltums""","Tvaika iela 4, Jēkabpils, Jēkabpils nov.",6.75 ,08.12.2023
SOCIĀLAIS DARBINIEKS,"Sociālās aprūpes centrs ""Tērvete""","Mežmalieši, Tērvetes pag., Dobeles nov.",1150 - 1250 ,10.12.2023
MĀSA/ vispārējās aprūpes MĀSA,"Sociālās aprūpes centrs ""Tērvete""","Mežmalieši, Tērvetes pag., Dobeles nov.",1200 ,10.12.2023
GALVENĀ MEDICĪNAS MĀSA,"Sociālās aprūpes centrs ""Tērvete""","Mežmalieši, Tērvetes pag., Dobeles nov.",1600 ,10.12.2023
SOCIĀLAIS REHABILITĒTĀJS,"Sociālās aprūpes centrs ""Tērvete""","Mežmalieši, Tērvetes pag., Dobeles nov.",1000 ,10.12.2023
APRŪPĒTĀJS,"Sociālās aprūpes centrs ""Tērvete""","Mežmalieši, Tērvetes pag., Dobeles nov.",700 ,10.12.2023
SOCIĀLAIS DARBINIEKS,Aizkraukles novada Sociālais dienests,"Daugavas iela 1, Aizkraukle, Aizkraukles nov.",1152 ,07.12.2023
GALVENAIS NODOKĻU INSPEKTORS,Valsts ieņēmumu dienests,"Talejas iela 1, Rīga",1065 - 1388 ,11.12.2023
GRĀMATVEŽA PALĪGS,"Valsts sabiedrība ar ierobežotu atbildību ""Šampētera nams""","Ventspils iela 53, Rīga",1200 - 1400 ,05.12.2023
SKOLOTĀJA PALĪGS,RĪGAS 88. pirmsskolas izglītības iestāde,"Ģertrūdes iela 28, Rīga",422 ,20.12.2023
BŪVSTRĀDNIEKS,"SIA ""GI Constructs""","Biķernieku iela 16 - 35, Rīga",1373 ,01.04.2024
SOCIĀLAIS PEDAGOGS,Jūrmalas pamatskola,"Dzirnavu iela 50, Jūrmala",1173 - 1316 ,30.11.2023
MONTĒTĀJS,"SIA ""A Solution""","Dārzciema iela 60, Rīga",800 - 1800 ,29.12.2023
REKLĀMAS UN TIRGVEDĪBAS PROJEKTU PLĀNOTĀJS,"SIA ""A Solution""","Dārzciema iela 60, Rīga",800 - 2000 ,29.12.2023
CEĻU BŪVINŽENIERIS,Limbažu novada pašvaldība,"Mūru iela 17, Limbaži, Limbažu nov.",1625 ,04.12.2023
TIESAS TULKS,Tiesu administrācija,"Jēzusbaznīcas iela 6, Rīga",1049 - 1312 ,30.11.2023
GRĀMATVEŽA PALĪGS,"SIA ""A Solution""","Dārzciema iela 60, Rīga",750 - 1100 ,29.12.2023
Tiesas sēžu SEKRETĀRS,Tiesu administrācija,"Baldones iela 1A, Rīga",925 - 1155 ,11.12.2023
VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Jūrmalas Mežmalas pamatskola,"Rūpniecības iela 13, Jūrmala",895 ,31.01.2024
PAVĀRA PALĪGS,"""FIRMA MADARA 89"" SIA","Raunas iela 15, Cēsis, Cēsu nov.",No 5 ,05.12.2023
PAVĀRS,"""FIRMA MADARA 89"" SIA","Raunas iela 15, Cēsis, Cēsu nov.",No 6 ,05.12.2023
AUTOMOBIĻA VADĪTĀJS,"Valsts sociālās aprūpes centrs ""Zemgale""","Smiltaiņi, Iecava, Bauskas nov.",740 - 1066 ,03.12.2023
VIRTUVES DARBINIEKS,RĪGAS 244. PIRMSSKOLAS IZGLĪTĪBAS IESTĀDE,"Marsa gatve 8, Rīga",620 ,20.02.2024
SĒTNIEKS,RĪGAS 244. PIRMSSKOLAS IZGLĪTĪBAS IESTĀDE,"Marsa gatve 8, Rīga",620 ,20.02.2024
SAIMNIECĪBAS PĀRZINIS,RĪGAS 244. PIRMSSKOLAS IZGLĪTĪBAS IESTĀDE,"Marsa gatve 8, Rīga",781 ,20.02.2024
PALĪGSTRĀDNIEKS,SIA WoodHeart,"Mildas, Kocēnu pag., Valmieras nov.",620 - 1000 ,22.12.2023
SKOLOTĀJA PALĪGS,RĪGAS 244. PIRMSSKOLAS IZGLĪTĪBAS IESTĀDE,"Marsa gatve 8, Rīga",737 ,20.02.2024
SKOLOTĀJA PALĪGS,Valmieras novada pašvaldība,"Jumaras iela 9, Valmiera, Valmieras nov.",778 ,01.12.2023
PIRMSSKOLAS IZGLĪTĪBAS SPORTA SKOLOTĀJS,RĪGAS 244. PIRMSSKOLAS IZGLĪTĪBAS IESTĀDE,"Marsa gatve 8, Rīga",1240 ,20.02.2024
PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,RĪGAS 244. PIRMSSKOLAS IZGLĪTĪBAS IESTĀDE,"Marsa gatve 8, Rīga",1240 ,20.02.2024
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,RĪGAS 244. PIRMSSKOLAS IZGLĪTĪBAS IESTĀDE,"Marsa gatve 8, Rīga",1240 ,20.02.2024
VIRTUVES DARBINIEKS,"Rīgas pirmsskolas izglītības iestāde ""Rūķītis""","Vecmīlgrāvja 1. līnija 41, Rīga",620 ,20.12.2023
GALVENĀ GRĀMATVEŽA VIETNIEKS,"Valsts sociālās aprūpes centrs ""Zemgale""","Smiltaiņi, Iecava, Bauskas nov.",1500 - 1959 ,26.11.2023
REĢISTRATORS,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Hipokrāta iela 2, Rīga",980 ,05.12.2023
MĀSA/ vispārējās aprūpes MĀSA,Gulbenes novada pašvaldība,"Bērzu iela 4B, Gulbene, Gulbenes nov.",558 ,04.12.2023
SOCIĀLAIS DARBINIEKS,Liepājas Sociālais dienests,"Viršu iela 9/11, Liepāja",1150 ,12.12.2023
CEHA STRĀDNIEKS,SIA AVOTI,"Avoti, Lizums, Lizuma pag., Gulbenes nov.",4.2 - 8.1 ,11.12.2023
MEHATRONIĶIS,"""LATGRAN"" SIA","Alkšņi, Daukstu pag., Gulbenes nov.",2000 ,30.11.2023
SOCIĀLAIS DARBINIEKS,Liepājas Sociālais dienests,"Viršu iela 9/11, Liepāja",1050 ,12.12.2023
BĀRIŅTIESAS LOCEKLIS,Ventspils novada pašvaldība,"Skolas iela 4, Ventspils",1339 - 1399 ,08.12.2023
SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Liepājas Sociālais dienests,"Eduarda Veidenbauma iela 3, Liepāja",1150 ,12.12.2023
ELEKTRONIKAS MONTĒTĀJS,"Sabiedrība ar ierobežotu atbildību ""BNV Systems""","Ieriķu iela 3, Rīga",900 - 1100 ,15.12.2023
DARBA TERAPEITS,Liepājas Sociālais dienests,"Teodora Breikša iela 16/20, Liepāja",638 ,12.12.2023
PAŠVALDĪBAS PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Liepājas Sociālais dienests,"Viršu iela 9/11, Liepāja",1500 ,12.12.2023
VIRTUVES DARBINIEKS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Slokas iela 49A, Rīga",720 - 800 ,31.12.2023
AUTOMEHĀNIĶIS,SIA LALUNA,"Andreja Pormaļa iela 40, Jēkabpils, Jēkabpils nov.",No 11 ,21.12.2023
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Jukuma Vācieša iela 2E, Rīga",1040 - 1100 ,31.12.2023
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Skanstes iela 52, Rīga",1120 - 1200 ,31.12.2023
APRŪPĒTĀJS,Liepājas Sociālais dienests,"Salmu iela 53, Liepāja",4.19 ,04.12.2023
PAVĀRA PALĪGS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Riekstu iela 14, Rīga",768 - 850 ,31.12.2023
BUFETES PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Gustava Zemgala gatve 74, Rīga",880 - 950 ,31.12.2023
PASTNIEKS,"""Latvijas Pasts"", Valsts akciju sabiedrība","Brīvības gatve 211, Rīga",670 ,30.11.2023
VADĪTĀJA VIETNIEKS /IZPILDDIREKTORS (TRANSPORTĀ),"Sabiedrība ar ierobežotu atbildību ""OLID""","Zlēku iela 1, Ventspils",1500 ,04.12.2023
VECĀKAIS REFERENTS,Lauku atbalsta dienests,"Brīvības iela 48, Ogre, Ogres nov.",1226 - 1453 ,30.11.2023
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""BBH Investments""","Jūras iela 23/25, Jūrmala",1373 ,20.02.2024
VIRTUVES DARBINIEKS,"Sabiedrība ar ierobežotu atbildību ""BBH Investments""","Jūras iela 23/25, Jūrmala",1373 ,20.02.2024
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Kalpaka bulvāris 8, Rīga",1040 - 1100 ,30.12.2023
VECĀKAIS GRĀMATVEDIS,"""Rīgas satiksme"", Rīgas pašvaldības sabiedrība ar ierobežotu atbildību","Brīvības iela 191, Rīga",1565 ,04.12.2023
BUFETES PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Dzirciema iela 16, Rīga",880 - 900 ,31.12.2023
PROFESIONĀLĀS IZGLĪTĪBAS SKOLOTĀJS,Rīgas Tirdzniecības profesionālā vidusskola,"Tomsona iela 3/5, Rīga",1320 ,30.12.2023
BĀRMENIS,"Sabiedrība ar ierobežotu atbildību ""KLONDAIKA""","Atbrīvošanas aleja 121B, Rēzekne",1000 - 1500 ,05.12.2023
APKOPĒJS,"Sabiedrība ar ierobežotu atbildību ""Simply Clean""","Gaismas iela 1, Ķekava, Ķekavas nov.",5 - 5.5 ,29.12.2023
KLIENTU APKALPOŠANAS SPECIĀLISTS,"Sabiedrība ar ierobežotu atbildību ""KLONDAIKA""","Atbrīvošanas aleja 121B, Rēzekne",1200 - 1800 ,05.12.2023
PAVĀRS,"Sabiedrība ar ierobežotu atbildību ""NAGANO SUŠI""","Atbrīvošanas aleja 98, Rēzekne",1000 ,05.12.2023
IESLODZĪJUMA VIETAS UZRAUGS,Ieslodzījuma vietu pārvalde,"Dārza iela 14/16, Liepāja",990 - 1110 ,31.12.2023
VECĀKAIS INSPEKTORS,Valsts tehniskās uzraudzības aģentūra,"Republikas laukums 2, Rīga",1226 - 1428 ,18.12.2023
IESLODZĪJUMA VIETAS APSARGS,Ieslodzījuma vietu pārvalde,"Dārza iela 14/16, Liepāja",990 - 1110 ,31.12.2023
Klientu KONSULTANTS (finanšu jomā),"""Swedbank"" AS","Uzvaras bulvāris 12, Cēsis, Cēsu nov.",1200 - 1500 ,30.11.2023
ĀRSTNIECĪBAS IESTĀDES KLIENTU UN PACIENTU REĢISTRATORS,"Sabiedrība ar ierobežotu atbildību ""VESELĪBAS CENTRS 4""","Skanstes iela 50, Rīga",7 ,07.01.2024
PSIHOLOGS,Ieslodzījuma vietu pārvalde,"Dārza iela 14/16, Liepāja",1252 - 1370 ,31.12.2023
APKOPĒJS,"""FIRMA MADARA 89"" SIA","Baznīcas laukums 2, Smiltene, Smiltenes nov.",No 620 ,05.12.2023
PAŠVALDĪBAS PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Ventspils novada pašvaldība,"Skolas iela 4, Ventspils",1399 ,30.11.2023
BŪVSTRĀDNIEKS,"SIA ""Nord X""","Gogoļa iela, Rīga",1373 ,01.03.2024
ATSLĒDZNIEKS,"Sabiedrība ar ierobežotu atbildību ""LīvMet""","Stirnu iela 5, Līvāni, Līvānu nov.",1000 - 1200 ,30.12.2023
ŠŪŠANAS IEKĀRTU OPERATORS,"Sabiedrība ar ierobežotu atbildību ""IV PLUS""","Aronsona iela 19, Krāslava, Krāslavas nov.",620 - 800 ,29.12.2023
LOKMETINĀTĀJS METINĀŠANĀ AR MEHANIZĒTO IEKĀRTU AKTĪVĀS GĀZES VIDĒ (MAG),"Sabiedrība ar ierobežotu atbildību ""LīvMet""","Stirnu iela 5, Līvāni, Līvānu nov.",1000 - 1400 ,31.12.2023
GADĪJUMA DARBU STRĀDNIEKS,"Valsts sabiedrība ar ierobežotu atbildību ""Daugavpils psihoneiroloģiskā slimnīca""","Alejas, Kraujas, Gārsenes pag., Jēkabpils nov.",759 ,30.11.2023
JURISTS,Latvijas Republikas Aizsardzības ministrijas Nacionālo bruņoto spēku Apvienotais štābs,"Krustabaznīcas iela 9, Rīga",1884 - 1995 ,01.01.2024
BĒRNU APRŪPĒTĀJS (DIENNAKTS),"Biedrība ""Centrs Elizabete""","Filozofu iela 3A, Jelgava",990 - 1100 ,29.12.2023
EKSPERTS,Valsts vides dienests,"Rūpniecības iela 23, Rīga",1008 - 1512 ,05.12.2023
KOMERCDARBINIEKS,"Tehnisko ekspertu sabiedrība ar ierobežotu atbildību ""TUV Nord Baltik""","Sāremas iela 3, Rīga",1000 - 1150 ,01.12.2023
PAVĀRA PALĪGS,"Sabiedrība ar ierobežotu atbildību ""GOI & SOY""","Ģertrūdes iela 9, Rīga",1373 ,01.05.2024
IZGLĪTĪBAS METODIĶIS,Jūrmalas Izglītības pārvalde,"Dubultu prospekts 1, Jūrmala",1457 ,04.12.2023
VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Smārdes pamatskola,"Smārdes pamatskola, Smārde, Smārdes pag., Tukuma nov.",2083 ,22.12.2023
TIRGUS PĀRDEVĒJS,"SIA ""Windau Wines""","Doma laukums 1, Rīga",5 ,30.11.2023
IZGLĪTĪBAS METODIĶIS,Jūrmalas Izglītības pārvalde,"Dubultu prospekts 1, Jūrmala",1457 ,04.12.2023
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"""MAXIMA Latvija"" SIA","Baznīcas iela 14, Dobele, Dobeles nov.",4.35 - 4.95 ,04.01.2024
TIRDZNIECĪBAS PĀRSTĀVIS,JF TOOLS SIA,"Valmiera, Valmieras nov.",800 - 3000 ,30.11.2023
GRĀMATVEDIS (CETURTĀ LĪMEŅA KVALIFIKĀCIJA),"Sabiedrība ar ierobežotu atbildību ""METALEKSPO""","Rencēnu iela 32, Rīga",1600 ,10.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""METALEKSPO""","Rencēnu iela 32, Rīga",1050 - 1200 ,27.11.2023
SABIEDRISKO ATTIECĪBU SPECIĀLISTS,"Sabiedrība ar ierobežotu atbildību ""METALEKSPO""","Rencēnu iela 32, Rīga",2000 ,27.11.2023
NOLIKTAVAS PĀRZINIS,"Sabiedrība ar ierobežotu atbildību ""METALEKSPO""","Rencēnu iela 32, Rīga",1900 - 2400 ,27.11.2023
IEPIRKUMU SPECIĀLISTS,"Sabiedrība ar ierobežotu atbildību ""METALEKSPO""","Rencēnu iela 32, Rīga",2000 ,27.11.2023
