Amats,Uzņēmums,Darba vietas adrese,Alga bruto,Aktuāla līdz
Izglītības un skolu PSIHOLOGS,Siguldas novada pašvaldība,"Raiņa iela 3, Sigulda, Siguldas nov.",1145 - 1205 ,29.11.2023
PAŠVALDĪBAS PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Jūrmalas valstspilsētas administrācija,"Jomas iela 1/5, Jūrmala",1487 - 1653 ,29.11.2023
AUTOKRĀVĒJA VADĪTĀJS,SIA SAFE ENERGY,"Daugavpils,ar darba vietu Kraujā",850 - 1150 ,15.12.2023
NOLIKTAVAS STRĀDNIEKS,"Zemnieku saimniecība ""GARĪŠI""","Garīši, Vārmes pag., Kuldīgas nov.",5.5 - 7.5 ,31.12.2023
ADMINISTRATORS,Latvijas Republikas Aizsardzības ministrijas Nacionālo bruņoto spēku Nodrošinājuma pavēlniecības 3.Reģionālais nodrošinājuma centrs,"Ādažu militārā bāze, Kadaga, Ādažu pag., Ādažu nov.",1203 - 1340 ,30.11.2023
PAVĀRA PALĪGS,"""Latvijas Samariešu apvienība""","Katoļu iela 22, Rīga",4.38 ,15.12.2023
PĀRDOŠANAS VADĪTĀJS,"SIA ""BEREKE TRADE""","Gaujas iela 43 - 19, Rīga",1373 ,31.03.2024
SANTEHNIĶIS,"SIA ""Rojas DzKU""","Selgas iela 8, Roja, Rojas pag., Talsu nov.",1200 ,23.11.2023
ELEKTRIĶIS,"Sabiedrība ar ierobežotu atbildību ""AJ Real Estate""","Vestienas iela 2, Rīga",13 - 16 ,08.01.2024
GRĀMATVEDIS (CETURTĀ LĪMEŅA KVALIFIKĀCIJA),"Madonas novada pašvaldības SIA ""Madonas slimnīca""","Rūpniecības iela 38, Madona, Madonas nov.",1164.24 ,04.12.2023
JURISTS,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Hipokrāta iela 2, Rīga",1900 ,30.11.2023
IZGLĪTĪBAS DARBA SPECIĀLISTS,Siguldas novada pašvaldība,"Raiņa iela 3, Sigulda, Siguldas nov.",1269 - 1336 ,29.11.2023
KARDIOLOGS,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Hipokrāta iela 2, Rīga",1821 - 2057 ,16.12.2023
ZIRGU TRENERIS,"SIA ""Zirgu Oāze""","Skolas iela 18, Riebiņi, Riebiņu pag., Preiļu nov.",720 - 900 ,11.12.2023
INŽENIERKOMUNIKĀCIJU TEHNIĶIS,Latvijas Nacionālais arhīvs,"Šķūņu iela 11, Rīga",667 - 702 ,14.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""VUDLANDE""","Lejasupītes, Launkalnes pag., Smiltenes nov.",No 1373 ,29.12.2023
KRAVAS AUTOMOBIĻA VADĪTĀJS,"""NPL Trucking"", SIA","Dzirkaļu iela 21, Rīga",1373 ,31.05.2024
VECĀKAIS MUITAS UZRAUGS,Valsts ieņēmumu dienests,"Muita, Grebņova, Malnavas pag., Ludzas nov.",1065 - 1388 ,27.11.2023
SOCIĀLAIS DARBINIEKS,"Daugavpils valstspilsētas pašvaldības iestāde ""Sociālais dienests""","Vienības iela 8, Daugavpils",1150 ,30.11.2023
Lidojumu plānošanas SPECIĀLISTS,"""SMARTLYNX AIRLINES"", SIA","Mazrūdas, Mārupes pag., Mārupes nov.",1500 - 1700 ,31.05.2024
SAIMNIECĪBAS STRĀDNIEKS,"SIA ""MG island""","Dīķsalas, Stradu pag., Gulbenes nov.",6.5 - 7 ,15.01.2024
SOCIĀLAIS DARBINIEKS,"Daugavpils valstspilsētas pašvaldības iestāde ""Sociālais dienests""","Lāčplēša iela 39, Daugavpils",1100 ,30.11.2023
SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,"Daugavpils valstspilsētas pašvaldības iestāde ""Sociālais dienests""","Krišjāņa Valdemāra iela 13, Daugavpils",590 ,30.11.2023
RATIŅSTŪMĒJS (LIELVEIKALOS),"""MAXIMA Latvija"" SIA","Augusta Deglava iela 67, Purvciems, Rīga",4.2 - 5.5 ,31.12.2023
PROJEKTA KOORDINATORS,"Sabiedrība ar ierobežotu atbildību ""CREATIVE MEDIA INVEST""","Vīlandes iela 1, Rīga",2060 ,16.12.2023
VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Jūrmalas Majoru vidusskola,"Rīgas iela 3, Jūrmala",436.67 ,15.12.2023
KLIENTU APKALPOŠANAS SPECIĀLISTS,"Valsts sabiedrība ar ierobežotu atbildību ""Paula Stradiņa klīniskā universitātes slimnīca""","Pilsoņu iela 13, Rīga",6.6 ,01.12.2023
IZGLĪTĪBAS DARBA SPECIĀLISTS,Smiltenes novada pašvaldība,"Dārza iela 11, Smiltene, Smiltenes nov.",No 1259 ,30.11.2023
INFORMĀCIJAS SISTĒMAS DROŠĪBAS PĀRVALDNIEKS,Valsts ieņēmumu dienests,"Talejas iela 1, Rīga",2174 - 2500 ,05.12.2023
PERSONĀLA SPECIĀLISTS,Smiltenes novada pašvaldība,"Dārza iela 3, Smiltene, Smiltenes nov.",No 1096 ,01.12.2023
PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Siguldas novada pašvaldība,"Strēlnieku iela 13, Sigulda, Siguldas nov.",1125.3 ,30.11.2023
PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Siguldas novada pašvaldība,"Strēlnieku iela 13, Sigulda, Siguldas nov.",744 ,30.11.2023
BUFETES PĀRDEVĒJS,"Sabiedrība ar ierobežotu atbildību ""Baltic Restaurants Latvia""","Jūrkalnes iela 15/25, Rīga",6 - 6.5 ,31.12.2023
ISTABENIS,"SIA ""MG island""","Dīķsalas, Stradu pag., Gulbenes nov.",5.5 - 6 ,15.01.2024
Zivju apstrādes iekārtu STRĀDNIEKS,"SIA ""KH SELECT""","Muižas iela 18, Ādaži, Ādažu nov.",1373 - 1390 ,29.02.2024
TIRDZNIECĪBAS ZĀLES DARBINIEKS,"SIA ""RIMI LATVIA""","Rīgas iela 48, Jelgava",4.5 - 4.7 ,30.11.2023
TRAUKU MAZGĀTĀJS,"Sabiedrība ar ierobežotu atbildību ""Apgāds Zvaigzne ABC""","Kr. Valdemāra iela 6, Rīga",310 - 350 ,30.11.2023
IESTĀDES VADĪTĀJA VIETNIEKS /ĢENERĀLDIREKTORA VIETNIEKS /DIREKTORA VIETNIEKS /PRIEKŠNIEKA VIETNIEKS /PRIEKŠSĒDĒTĀJA VIETNIEKS,Rīgas Tehniskā universitāte,"Flotes iela 5, Rīga",1340 - 1650 ,16.12.2023
PALĪGSTRĀDNIEKS,"Sabiedrība ar ierobežotu atbildību ""KOMPĀNIJA AVOTIŅI""","Robežu iela 10, Ventspils",No 7.5 ,15.12.2023
MĀSA/ vispārējās aprūpes MĀSA,"SIA ""Rīgas Austrumu klīniskā universitātes slimnīca""","Hipokrāta iela 4, Rīga",7.3 ,16.12.2023
SĒTNIEKS,"""Nordeka"", Akciju sabiedrība","Dzirciema iela 121, Rīga",450 ,30.11.2023
APKOPĒJS,"""Nordeka"", Akciju sabiedrība","Dzirciema iela 121, Rīga",800 ,30.11.2023
Bibliotēkas VADĪTĀJS/ DIREKTORS,Ilūkstes pilsētas centrālā bibliotēka,"Daugavpils,ar darba vietu Pagastmājā, Bebrenē, Bebrenes pag., Augšdaugavas nov.",774 ,01.12.2023
VECĀKAIS MUITAS EKSPERTS,Valsts ieņēmumu dienests,"Talejas iela 1, Rīga",1065 - 1388 ,05.12.2023
